recall,precision,kappa,f1-score,last_recall,last_precision,last_kappa,last_f1-score,recall_pred_0_with_drift,recall_pred_0_without_drift,precision_pred_0_with_drift,precision_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift
0.828,0.828,0.0,0.828,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.831,0.831,0.0,0.831,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.833,0.833,0.0,0.833,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.828,0.828,0.0,0.828,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.808,0.808,0.0,0.808,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.784,0.784,0.0,0.7840000000000001,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.781,0.781,0.0,0.7810000000000001,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.78,0.78,0.0,0.78,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.774,0.774,0.0,0.774,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.773,0.773,0.0,0.7729999999999999,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.772,0.772,0.0,0.772,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.751,0.751,0.0,0.751,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74,0.74,0.0,0.74,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.735,0.735,0.0,0.735,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.725,0.725,0.0,0.7250000000000001,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.722,0.722,0.0,0.722,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.723,0.723,0.0,0.723,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.722,0.722,0.0083045575183355,0.722,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.701,0.701,0.0049916805324459,0.701,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.694,0.694,0.0075182117164744,0.694,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.678,0.678,0.0288099604285301,0.678,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.673,0.673,0.0388007054673722,0.673,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.664,0.664,0.0572602186258446,0.664,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.644,0.644,0.0418774895037139,0.644,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.619,0.619,0.0338384760513662,0.619,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.569,0.569,0.0,0.569,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.554,0.554,0.0,0.554,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.558,0.558,0.0322933771209633,0.558,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.546,0.546,0.0357658652620848,0.546,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.545,0.545,0.048156980879461,0.545,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.546,0.546,0.0659397181359942,0.546,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.538,0.538,0.0726615816940988,0.538,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.544,0.544,0.0879999999999999,0.544,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.527,0.527,0.0614110979704254,0.527,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
